id,cnpj,idassociacao,porcento_mulheres,pagantes_servico,pagantes_comercio,pagantes_industria,pagantes_agro,pagantes_liberal,pagantes_mei,pagantes_outros,atividade_economica,area_comercial,vendedores_atuantes,certificado_origem,certificado_digital,servico_analise_credito,servico_intermediacao_estagio,servico_concessao_credito,carta_exclusividade,plano_saude,camara_mediacao,faculdade_comercio,aluguel_salas,conselho_comites,sede_associacao,condicao_sede,taxa_associativismo_min,taxa_associativismo_max,faturamento_produtos_servicos,faturamento_taxa_associativismo,data_atualizacao
17084,01642833000119,11507,de 26 a 50%,38,91,8,0,12,19,84,Agronegócio,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não tem,Sede/Sala Alugada,"Nosso espaço é da Associação de Turismo e trabalhamos em parceria. No espaço dispomos de 1 escritório, 1 copa/cozinha, 1 depósito, 2 banheiros e 1 auditório.",0,82,de 26 a 50%,de 26 a 50%,2023-04-05 04:28:09.263333
17085,30321566000186,2891,de 26 a 50%,5,21,2,,,1,10,Comério e Serviço,Não,Não há vendedor.,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não tem,Sede Própria,Prédio antigo/Conservado e sala de reunião.,,165,até 25%,Não informado,2023-04-05 04:28:09.278418
17086,13227525000106,2724,de 26 a 50%,5,27,2,0,0,0,0,Agronegócio,Sim,de 1 a 3 vendedores,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não tem,Sede/Sala Alugada,"PREDIO NOVO, ATENDIMENTO AO PUBLICO E OTIMA ACOMODAÇÃO",0,100,de 26 a 50%,de 26 a 50%,2023-04-05 04:28:09.293251
17087,20709218000127,11059,de 26 a 50%,5,95,3,15,3,62,7,Agronegócio,Não,Não há vendedor.,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Outros,Sede Própria,"Construção nova, infelizmente sem acessibilidade no salão de reuniões.",15,61,de 76 a 100%,até 25%,2023-04-05 04:28:09.305909
17088,01688720000154,11009,de 0 a 25%,5,40,60,0,0,20,0,Indústria,Sim,de 1 a 3 vendedores,Não,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Outros,Sede Própria,"prédio novo/conservado, sala de reuniões, auditório, espaço para eventos.",0,80,até 25%,de 76 a 100%,2023-04-05 04:28:09.31972
17089,36027597000105,10992,de 0 a 25%,5,70,1,4,5,15,30,Outros,Sim,de 1 a 3 vendedores,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não tem,Não tem Sede (apenas estatuto),"A sala é anexa ao teatro Stenio Garcia que não está em funcionamento, usamos a recepção e tem auditório no 2° andar com capacidade para 25 pessoas, o prédio é antigo.",4,96,até 25%,de 51 a 75%,2023-04-05 04:28:09.344927
17090,97434336000102,3209,de 0 a 25%,5,54,3,2,15,6,0,Indústria,Não,Não há vendedor.,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não tem,Sede/Sala Alugada,"Prédio antigo, sala de reuniões",2,70,até 25%,de 26 a 50%,2023-04-05 04:28:09.356806
17091,20804276000130,11734,de 0 a 25%,5,10,3,4,20,35,10,Indústria,Sim,acima de 7 vendedores,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não tem,Sede Própria,Precisa de reformas,4,149,até 25%,de 51 a 75%,2023-04-05 04:28:09.368982
17092,42703165000170,2271,de 0 a 25%,10,45,5,5,10,15,15,Comério e Serviço,Não,Não há vendedor.,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Outros,Sede Própria,"prédio conservado, onde possui uma sala bem ampla no andar de cima onde fazem reuniões.",5,90,até 25%,até 25%,2023-04-05 04:28:09.381058
17093,01560572000198,3429,de 0 a 25%,8,107,1,0,2,8,0,Agronegócio,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tem,Sede Própria,"O prédio está em reforma e possui um espaço amplo de atendimento ao público, um banheiro unissex, uma cozinha, sala de reuniões construída recentemente, espaço para eventos com capacidade para 300 pessoas sentadas, contendo uma cozinha industrial, um banheiro feminino e um banheiro masculino.",0,120,até 25%,de 26 a 50%,2023-04-05 04:28:09.393097
17094,04238972000170,3053,de 0 a 25%,8,73,1,2,1,5,0,Comério e Serviço,Sim,de 1 a 3 vendedores,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não tem,Sede Própria,conservado/sala de reuniões,2,132,até 25%,até 25%,2023-04-05 04:28:09.405302
