idtemplrel,nmcampo,nmexibicao,tprelatorio,nmvalue,sqlselect,encoding,format,valagrup
empxpro,vlcacb,Projeto - Valor CACB,sin,vlcacb,SUM(pro.vlcacb) as vlcacb,,Esgn_Formata::valor,"ufc, nuc, pro, seg"
empxpro,vlceco,Projeto - Contrapartida Econômica,sin,vlceco,SUM(pro.vlcontraecono) as vlceco,,Esgn_Formata::valor,"ufc, nuc, pro, seg"
empxpro,vlcfin,Projeto - Contrapartida Financeira,sin,vlcfin,SUM(pro.vlcontrafinan) as vlcfin,,Esgn_Formata::valor,"ufc, nuc, pro, seg"
fedxass,acenmrazao,ACE - Razão Social,ana,razaoace,ass.nmrazao AS acerazao,utf8_decode,,
fedxass,ass.dsbairro,ACE - Bairro,ana,bairr,,utf8_decode,,
fedxass,ass.dscomplemento,ACE - Complemento,ana,compl,,utf8_decode,,
fedxass,ass.dsemail,ACE - E-mail,ana,email,,,,
fedxass,ass.dsendereco,ACE - Endereço,ana,endereco,,utf8_decode,,
fedxass,ass.dshomepage,ACE - Homepage,ana,hpage,,,,
fedxass,ass.dtfundacao,ACE - Fundação,ana,dtfun,,,Esgn_Formata::data,
fedxass,ass.dtultimaatualizacao,ACE - Última Atualização,ana,dtultatu,,,Esgn_Formata::data,
fedxass,ass.flativo,ACE - Status,ana,ativo,,,Esgn_Arrays::statusAntigo,
fedxass,ass.idgestorassociacao,ACE - CPF Gestor,ana,idgest,,,Esgn_Formata::cpf,
fedxass,ass.nucep,ACE - CEP,ana,cep,,,Esgn_Formata::cep,
fedxass,ass.nucnpj,ACE - CNPJ,ana,cnpj,,,Esgn_Formata::cnpj,
fedxass,ass.nufax,ACE - Fax,ana,fax,,,,
fedxass,ass.nufone,ACE - Telefone,ana,fone,,,,
fedxass,ass.nufone2,ACE - Telefone 2,ana,fone2,,,,
fedxass,ass.nunumero,ACE - Número,ana,numer,,,,
fedxass,ativo,"Quantidade de ACE's Ativas",sin,qtdaceati,"SUM(CASE ass.flativo WHEN 'S' THEN 1 ELSE 0 END) AS ativas",,,fed
fedxass,cid.iduf,ACE - UF,amb,uf,,,,fed
fedxass,cid.nmcidade,ACE - Cidade,ana,cidad,,,,
fedxass,con.dtfimmandato,ACE - Fim Mandato,ana,dtfimmanda,,,Esgn_Formata::data,
fedxass,con.dtiniciomandato,ACE - Início Mandato,ana,dtinimanda,,,Esgn_Formata::data,
fedxass,con.nmcontato,ACE - Presidente,ana,nmpresid,,utf8_decode,,
fedxass,emailgestor,ACE - E-mail Gestor,ana,emailgest,usu.dsemail AS emailgest,,,
fedxass,fed.nmrazao,Federação - Razão Social,amb,razaofed,,utf8_decode,,fed
fedxass,inativo,"Quantidade de ACE's Inativas",sin,qtdaceina,"SUM(CASE ass.flativo WHEN 'N' THEN 1 ELSE 0 END) AS inativas",,,fed
fedxass,total,"Quantidade de ACE's",sin,qtdace,COUNT(ass.*) AS total,,,fed
fedxass,usu.nmusuario,ACE - Gestor,ana,nmgest,,utf8_decode,,
nucxemp,acerazao,ACE - Razão Social,amb,acerazao,ass.nmrazao AS acerazao,,,ace
