id,idempresa,origem
108660,56672,CEF
108661,56538,CEF
108662,56727,CEF
108663,56675,CEF
108664,56541,CEF
108665,56730,CEF
108666,56675,CEF
108667,56546,CEF
108668,35108,CEF
108669,56679,CEF
108670,56548,CEF
108671,56734,CEF
108672,56682,CEF
108673,56550,CEF
108674,56736,CEF
108675,56684,CEF
108676,56552,CEF
108677,56739,CEF
108678,56687,CEF
108679,56556,CEF
108680,56744,CEF
108681,56690,CEF
108682,56558,CEF
108683,56746,CEF
108684,56694,CEF
108685,56563,CEF
108686,56753,CEF
108687,56696,CEF
108688,56563,CEF
108689,56758,CEF
108690,56699,CEF
108691,56566,CEF
108692,32286,CEF
108693,56703,CEF
108694,56569,CEF
108695,56764,CEF
108696,56706,CEF
108697,56571,CEF
108698,34364,CEF
108699,56710,CEF
108700,56574,CEF
108701,54682,CEF
108702,40558,CEF
108703,56579,CEF
108704,54683,CEF
108705,56713,CEF
108706,56581,CEF
108707,54684,CEF
108708,56718,CEF
108709,56582,CEF
108710,54685,CEF
108711,56718,CEF
108712,56586,CEF
108713,54686,CEF
108714,56720,CEF
108715,56589,CEF
108716,54687,CEF
108717,56723,CEF
108718,56591,CEF
108719,54688,CEF
108720,56728,CEF
108721,56591,CEF
108722,54689,CEF
108723,56731,CEF
108724,56595,CEF
108725,54690,CEF
108726,56737,CEF
108727,56595,CEF
108728,54691,CEF
108729,56741,CEF
108730,56599,CEF
108731,54692,CEF
108732,56743,CEF
108733,56601,CEF
108734,54693,CEF
108735,56745,CEF
108736,56601,CEF
108737,54694,CEF
108738,56749,CEF
108739,56604,CEF
108740,54695,CEF
108741,56751,CEF
108742,56607,CEF
108743,54696,CEF
108744,56754,CEF
108745,56610,CEF
108746,54697,CEF
108747,56756,CEF
108748,56612,CEF
108749,54698,CEF
108750,56759,CEF
108751,56614,CEF
108752,54699,CEF
108753,56761,CEF
108754,56617,CEF
108755,54700,CEF
108756,56763,CEF
108757,56621,CEF
108758,54701,CEF
108759,54279,CEF
108760,56624,CEF
108761,54702,CEF
108762,56766,CEF
108763,56626,CEF
108764,54703,CEF
108765,56767,CEF
108766,56630,CEF
108767,54704,CEF
108768,56769,CEF
108769,56632,CEF
108770,54705,CEF
108771,56771,CEF
108772,56635,CEF
108773,54706,CEF
108774,56772,CEF
108775,56636,CEF
108776,54707,CEF
108777,33563,CEF
108778,56637,CEF
108779,54708,CEF
108780,56775,CEF
108781,56641,CEF
108782,54709,CEF
108783,56777,CEF
108784,56644,CEF
108785,54710,CEF
108786,56779,CEF
108787,56646,CEF
108788,54711,CEF
108789,56781,CEF
108790,56647,CEF
108791,54712,CEF
108792,56783,CEF
108793,56650,CEF
108794,54713,CEF
108795,32940,CEF
108796,56654,CEF
108797,54714,CEF
108798,56785,CEF
108799,56657,CEF
108800,54715,CEF
108801,56788,CEF
108802,56660,CEF
108803,54716,CEF
108804,56789,CEF
108805,56663,CEF
108806,54717,CEF
108807,56791,CEF
108808,56666,CEF
108809,54718,CEF
108810,56795,CEF
108811,56674,CEF
108812,54719,CEF
108813,56797,CEF
108814,56677,CEF
108815,54720,CEF
108816,56800,CEF
108817,56680,CEF
108818,54721,CEF
108819,56802,CEF
108820,56683,CEF
108821,54722,CEF
108822,56804,CEF
108823,56683,CEF
108824,54723,CEF
108825,56807,CEF
108826,56686,CEF
108827,54724,CEF
108828,56809,CEF
108829,56689,CEF
108830,54725,CEF
108831,56810,CEF
108832,56692,CEF
