idrecurso,nmrecurso,descricao,data_inclusao,usuario_inclusao,data_alteracao,usuario_alteracao,grupo,nome
200,premio21_gestor,"Permite acesso dos diferentes componentes do concurso ""Prêmio 2021"", como: exibição detalhada de todas as propostas.",2021-06-07 09:38:42,eduardo.assis,2022-03-17 11:10:30,renato.rossi,Concursos,Gestor do Prêmio 2021
201,parametro_geral_permi,Permite o acesso e manipulação da tabela de parâmetros gerais do portal.,2021-06-21 11:35:27,eduardo.assis,2021-12-03 11:39:21,renato.rossi,A definir,Manutenção de parâmetros gerais
202,pais_permi,Permite acesso e edição de valores na tabela de países.,2021-06-29 11:12:03,eduardo.assis,2021-06-29 11:12:03,,A definir,Manutenção de Países
203,premio21_avaliador,Visualização do item Prêmio 21 no menu de projetos.,2021-06-30 10:11:41,emanoel,2022-03-17 11:10:15,renato.rossi,Concursos,Prêmio 21 - avaliador
204,empresa_restrita,Permite a visualização de empresas restritas.,2021-08-24 12:08:21,eduardo.assis,2021-08-24 12:08:21,,Empresas,Acesso a empresas restritas
206,empresa_duplicada,Permissão para rodar script de empresas duplicadas.,2021-09-27 07:36:03,emanoel,2022-11-21 07:10:48,renato.rossi,ADM,Empresa duplicada
207,alertar_manutencao,Libera para o usuário a manutenção de alertas,2021-10-06 09:55:46,renato.rossi,2021-10-06 09:55:46,,Alertas,Alertas - manutenção
208,prestecontas_comparacao,Permite o acesso à funcionalidade de comparação entre arquivo geral pelo Prestecontas do Sebrae (xlsx depois convertido para xlm) para carga no PDE e comparação com os lançamentos. A funcionalidade só é disponível para projetos em que o Sebrae figure como uma das origens de recursos.,2021-11-24 10:01:21,emanoel,2021-11-24 11:16:44,renato.rossi,Projetos,Conciliação PDE & Prestecontas
209,pj_restrito,Permite editar projetos de modo a indicar ou retirar a indicação de projeto restrito e manunteção de tabela de projetos restritos.,2021-12-14 15:02:56,emanoel,2022-09-21 16:41:16,renato.rossi,Projetos,Projeto Restrito - indicação
210,ent_vinc,Permite a vinculação/desvinculação de entidades - usada na lista de entidades vinculadas a uma entidade,2022-02-19 11:15:17,renato.rossi,2022-02-19 11:15:17,,Entidades,Vinculação de entidade
211,motivo_recusa,Garante acesso a funcionalidades de motivo de recusa de lançamento.,2022-03-03 16:30:12,emanoel,2022-03-03 16:30:12,,Projetos,Motivo de recusa de lançamento
213,e22_demandas_gestor,Permite acesso às funções de gestão da avaliação de propostas para o E2022 - Apoio a demandas,2022-03-17 11:09:49,renato.rossi,2022-07-04 15:14:28,renato.rossi,Concursos,E2022 - Demandas - gestor
214,entidade_vincular_entidade,Permite a vinculação entre entidades,2022-03-28 07:46:57,gabriel.lima,2022-05-20 17:04:35,renato.rossi,Entidade,Vincular Entidade
215,painel_entidade,Permite acesso ao Painel de Entidades,2022-04-28 09:07:06,gabriel.lima,2022-05-20 17:04:14,renato.rossi,Entidades,Painel Entidade
