idprojeto,idnucleo,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
102,22769,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
102,22770,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
102,22775,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
103,22519,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
103,22681,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
103,22717,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
103,22786,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
103,22875,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
103,22936,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
108,22571,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
108,22647,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
108,22767,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
108,22867,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
108,22872,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
108,22935,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
108,23149,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
108,23173,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
109,22520,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
110,22523,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
110,22667,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
110,22668,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
110,22886,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
110,22912,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
116,20042,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
116,22505,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
116,22691,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
116,22858,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
116,22932,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
116,22939,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
116,23021,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
117,22589,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
117,22828,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
117,22881,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
117,22943,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
117,22989,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
117,23098,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
117,23145,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
118,22521,2018-05-06 20:02:55,gladson.lima,2018-05-06 20:02:55,gladson.lima
118,22887,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
118,22888,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
118,22895,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
118,22917,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
118,22975,2018-05-07 09:41:15,gladson.lima,2018-05-07 09:41:15,gladson.lima
