idcidade,idbairro,nmbairro,flincluido
343,863,URBIS, 
343,864,VILA CARAIPE, 
343,865,VILA FELIZ, 
343,866,VILA VARGAS, 
343,867,VILA VERDE, 
343,868,VISTA DO SOL, 
343,869,WILSON BRITO, 
1116,870,ALEGRIA, 
1116,875,ALTO MARON, 
1116,876,BANDEIRA, 
1116,878,BELA VISTA, 
1116,879,BNH, 
1116,881,BRASIL, 
1116,883,CANDEIAS, 
1116,884,CENTRO, 
1116,886,CIDADE MODELO, 
1116,887,CONQUISTA, 
1116,890,CRUZEIRO, 
1116,891,ESCOLA NORMAL, 
1116,894,EXPOSICAO, 
1116,895,FEIRINHA, 
1116,897,FLAMENGO, 
1116,900,IBIRAPUERA, 
1116,901,INOCOOP, 
1116,903,IRACEMA, 
1116,907,JUREMA, 
1116,908,KADIJA, 
1116,915,GUARANI, 
1116,917,PATAGONIA, 
1116,920,RECREIO, 
1116,925,SAO VICENTE, 
1116,928,SUMARE, 
1116,930,UNIVERSITARIO, 
1116,931,URBIS, 
1116,932,VILA CONQUISTA, 
1116,933,VILA SERRANA, 
1284,936,ACUDE, 
1284,937,ARATURI, 
1284,938,ARIANOPOLIS, 
1284,939,CABATA, 
1284,940,CAMURUPIM, 
1284,941,CAPOEIRA, 
1284,942,CAPUA, 
1284,943,CENTRO, 
1284,944,CIGANA, 
1284,945,CURICACA, 
1284,946,GENIPABU, 
1284,947,GRILO, 
1284,948,ICARAI, 
1284,949,ITAMBE, 
1284,950,MARECHAL RONDON, 
1284,951,MESTRE ANTONIO, 
1284,952,NOVA METROPOLE, 
1284,953,PABUSSU, 
1284,954,PACHECO, 
1284,955,PADRE ROMUALDO, 
1284,956,PARQUE ALBANO, 
1284,957,PARQUE DAS NACOES, 
1284,958,PARQUE GUADALAJARA, 
1284,959,PARQUE POTIRA, 
1284,960,PARQUE SOLEDADE, 
1284,961,PARQUE TABAPUA, 
1284,962,PLANALTO CAUCAIA, 
1284,963,SAO MIGUEL, 
1284,964,TABAPUAZINHO, 
1301,965,ALTO DA PENHA, 
1301,966,CACIMBAS, 
1301,967,CENTRO, 
1301,968,CRUZ, 
1301,969,DOM FRANCISCO, 
1301,970,FLORESTA II, 
1301,971,FRANCA ALENCAR, 
1301,972,GISELIA PINHEIRO, 
1301,973,GONZAGA DE MELO, 
1301,974,INDEPENDENCIA, 
1301,975,LOBO, 
1301,976,MIRANDAO, 
1301,977,MISERICORDIA, 
1301,978,MURITI, 
1301,979,NOVO HORIZONTE, 
1301,980,NOVO LAMEIRO, 
1301,981,OSSIAN ARARIPE, 
1301,982,PARAISO, 
1301,983,PARQUE FLORESTA, 
1301,984,PARQUE GRANJEIRO, 
1301,985,PIMENTA, 
1301,986,PINTO MADEIRA, 
1301,987,PLANALTO GRANJEIRO, 
1301,988,SANTA LUZIA, 
1301,989,SAO JOSE, 
1301,990,SAO MIGUEL, 
1301,991,SEMINARIO, 
1301,992,SOSSEGO, 
1301,993,VILA ALTA, 
1301,994,ZACARIAS GONCALVES, 
1347,995,ALAGADICO, 
1347,996,ALAGADICO NOVO, 
1347,997,ALDEOTA, 
1347,998,ALTO ALEGRE, 
1347,999,ALTO DA BALANCA, 
1347,1000,ALVARO WEYNE, 
1347,1001,AMADEU FURTADO, 
1347,1002,ANTONIO BEZERRA, 
1347,1003,ANTONIO DIOGO, 
1347,1004,BARRA DO CEARA, 
1347,1005,BELA VISTA, 
1347,1006,BENFICA, 
1347,1007,BOM FUTURO, 
1347,1008,BOM JARDIM, 
1347,1009,BONSUCESSO, 
1347,1010,CACHOEIRINHA, 
1347,1011,CAJAZEIRAS, 
1347,1012,CAMBEBA, 
1347,1013,CASTELAO, 
1347,1014,CENTRO, 
1347,1015,CIDADE DOS FUNCIONARIOS, 
1347,1016,COCO, 
1347,1017,CONJUNTO CEARA, 
1347,1018,CONJUNTO ESPERANCA, 
1347,1019,CRISTO REDENTOR, 
1347,1020,DAMAS, 
1347,1021,DEMOCRITO ROCHA, 
1347,1022,DIAS MACEDO, 
1347,1023,DIONISIO TORRES, 
1347,1024,EDSON QUEIROZ, 
1347,1025,FARIAS BRITO, 
1347,1026,FATIMA, 
1347,1027,GENIBAU, 
1347,1028,GRANJA PORTUGAL, 
1347,1029,HENRIQUE JORGE, 
1347,1030,ITAPERI, 
1347,1031,JACARECANGA, 
1347,1032,JANGURUSSU, 
1347,1033,JARDIM AMERICA, 
1347,1034,JOAQUIM TAVORA, 
1347,1035,JOQUEI CLUBE, 
