idprojeto,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
581,2012-07-01,fn,2022-06-28 13:47:48,Mluiza,2022-06-28 13:47:48,Mluiza
582,2010-01-01,in,2022-06-28 13:39:24,Mluiza,2022-06-28 13:39:24,Mluiza
582,2012-07-01,fn,2022-06-28 13:39:24,Mluiza,2022-06-28 13:39:24,Mluiza
583,2010-01-01,in,2022-06-28 13:33:28,Mluiza,2022-06-28 13:33:28,Mluiza
583,2012-07-01,fn,2022-06-28 13:33:28,Mluiza,2022-06-28 13:33:28,Mluiza
584,2010-01-01,in,2022-07-11 09:04:03,Mluiza,2022-07-11 09:04:03,Mluiza
584,2012-07-01,fn,2022-07-11 09:04:03,Mluiza,2022-07-11 09:04:03,Mluiza
585,2010-01-01,in,2022-06-28 13:30:44,Mluiza,2022-06-28 13:30:44,Mluiza
585,2012-07-01,fn,2022-06-28 13:30:44,Mluiza,2022-06-28 13:30:44,Mluiza
586,2010-01-01,in,2022-06-28 13:29:26,Mluiza,2022-06-28 13:29:26,Mluiza
586,2012-07-01,fn,2022-06-28 13:29:26,Mluiza,2022-06-28 13:29:26,Mluiza
587,2010-01-01,in,2022-06-28 13:28:10,Mluiza,2022-06-28 13:28:10,Mluiza
587,2012-07-01,fn,2022-06-28 13:28:10,Mluiza,2022-06-28 13:28:10,Mluiza
588,2010-01-01,in,2022-06-28 13:27:11,Mluiza,2022-06-28 13:27:11,Mluiza
588,2012-07-01,fn,2022-06-28 13:27:11,Mluiza,2022-06-28 13:27:11,Mluiza
589,2010-01-01,in,2022-06-28 11:33:09,Mluiza,2022-06-28 11:33:09,Mluiza
589,2012-07-01,fn,2022-06-28 11:33:09,Mluiza,2022-06-28 11:33:09,Mluiza
590,2010-01-01,in,2022-06-28 11:31:53,Mluiza,2022-06-28 11:31:53,Mluiza
590,2012-07-01,fn,2022-06-28 11:31:53,Mluiza,2022-06-28 11:31:53,Mluiza
591,2010-01-01,in,2022-06-28 11:30:39,Mluiza,2022-06-28 11:30:39,Mluiza
591,2012-07-01,fn,2022-06-28 11:30:39,Mluiza,2022-06-28 11:30:39,Mluiza
592,2010-01-01,in,2022-06-28 11:28:29,Mluiza,2022-06-28 11:28:29,Mluiza
592,2012-07-01,fn,2022-06-28 11:28:29,Mluiza,2022-06-28 11:28:29,Mluiza
593,2010-01-01,in,2022-06-28 11:27:07,Mluiza,2022-06-28 11:27:07,Mluiza
593,2012-07-01,fn,2022-06-28 11:27:07,Mluiza,2022-06-28 11:27:07,Mluiza
594,2010-01-01,in,2022-07-11 09:02:03,Mluiza,2022-07-11 09:02:03,Mluiza
594,2012-07-01,fn,2022-07-11 09:02:03,Mluiza,2022-07-11 09:02:03,Mluiza
595,2010-01-01,in,2022-07-21 08:47:56,Mluiza,2022-07-21 08:47:56,Mluiza
595,2012-07-01,fn,2022-07-21 08:47:56,Mluiza,2022-07-21 08:47:56,Mluiza
1001,2018-03-01,in,2020-10-13 13:21:35,amauger,2020-10-13 13:21:35,amauger
1001,2020-02-28,fn,2020-12-03 10:35:53,amauger,2020-12-03 10:35:53,amauger
1001,2020-11-30,fn,2020-10-13 13:21:35,amauger,2020-10-13 13:21:35,amauger
1002,2018-04-01,in,2020-10-13 13:22:44,amauger,2020-10-13 13:22:44,amauger
1002,2020-07-30,fn,2020-10-13 13:22:44,amauger,2020-10-13 13:22:44,amauger
1007,2018-05-01,in,2021-07-14 15:08:32,patriciarego,2021-07-14 15:08:32,patriciarego
1007,2020-05-01,fn,2021-07-14 15:08:32,patriciarego,2021-07-14 15:08:32,patriciarego
1017,2017-01-01,fn,2021-06-14 16:58:25,renato.rossi,2021-06-14 16:58:25,renato.rossi
1017,2017-01-01,in,2021-06-14 16:58:25,renato.rossi,2021-06-14 16:58:25,renato.rossi
1024,2018-03-01,in,2020-09-23 16:42:53,amauger,2020-09-23 16:42:53,amauger
1024,2020-03-01,fn,2020-09-28 13:01:43,amauger,2020-09-28 13:01:43,amauger
1024,2020-10-01,fn,2020-09-23 16:42:53,amauger,2020-09-23 16:42:53,amauger
1025,2017-01-01,fn,2021-06-14 16:52:03,renato.rossi,2021-06-14 16:52:03,renato.rossi
1025,2017-01-01,in,2021-06-14 16:52:03,renato.rossi,2021-06-14 16:52:03,renato.rossi
1028,2018-03-01,in,2021-06-14 16:50:03,renato.rossi,2021-06-14 16:50:03,renato.rossi
1028,2020-03-01,fn,2021-06-14 16:50:03,renato.rossi,2021-06-14 16:50:03,renato.rossi
1030,2017-01-01,fn,2021-06-14 16:48:49,renato.rossi,2021-06-14 16:48:49,renato.rossi
1030,2017-01-01,in,2021-06-14 16:48:49,renato.rossi,2021-06-14 16:48:49,renato.rossi
1034,2017-01-01,in,2022-03-18 13:45:07,Mluiza,2022-03-18 13:45:07,Mluiza
1034,2019-12-31,fn,2022-03-18 13:45:07,Mluiza,2022-03-18 13:45:07,Mluiza
1036,2018-03-01,in,2021-04-22 16:03:56,amauger,2021-04-22 16:03:56,amauger
1036,2020-10-01,fn,2021-04-22 16:03:56,amauger,2021-04-22 16:03:56,amauger
1037,2018-03-01,in,2020-10-05 15:02:13,patriciarego,2020-10-05 15:02:13,patriciarego
1037,2020-10-01,fn,2020-10-05 15:02:13,patriciarego,2020-10-05 15:02:13,patriciarego
1042,2017-01-01,fn,2021-06-14 17:53:09,renato.rossi,2021-06-14 17:53:09,renato.rossi
1042,2017-01-01,in,2021-06-14 17:53:09,renato.rossi,2021-06-14 17:53:09,renato.rossi
1044,2020-02-28,df,2020-02-28 09:35:31,amauger,2020-02-28 09:35:31,amauger
1044,2020-02-28,fn,2020-12-01 13:41:35,amauger,2020-12-01 13:41:35,amauger
1044,2020-10-01,fn,2020-11-17 13:18:33,amauger,2020-11-17 13:18:33,amauger
1052,2018-03-01,in,2020-09-23 16:36:18,amauger,2020-09-23 16:36:18,amauger
1052,2019-12-20,fn,2020-12-01 13:42:36,amauger,2020-12-01 13:42:36,amauger
1052,2020-10-01,fn,2020-09-23 16:36:18,amauger,2020-09-23 16:36:18,amauger
1053,2018-05-01,in,2021-06-14 16:45:12,renato.rossi,2021-06-14 16:45:12,renato.rossi
1053,2020-05-01,fn,2021-06-14 16:45:12,renato.rossi,2021-06-14 16:45:12,renato.rossi
1059,2018-05-01,in,2020-10-13 13:25:04,amauger,2020-10-13 13:25:04,amauger
1059,2020-10-30,fn,2020-10-13 13:25:04,amauger,2020-10-13 13:25:04,amauger
1061,2018-03-01,in,2020-10-13 13:26:00,amauger,2020-10-13 13:26:00,amauger
1061,2020-10-30,fn,2020-10-13 13:26:00,amauger,2020-10-13 13:26:00,amauger
1062,2018-09-01,in,2020-09-14 18:54:33,patriciarego,2020-09-14 18:54:33,patriciarego
1062,2020-10-30,fn,2020-10-13 13:26:50,amauger,2020-10-13 13:26:50,amauger
1062,2020-11-01,fn,2020-09-14 18:54:33,patriciarego,2020-09-14 18:54:33,patriciarego
1065,2020-10-30,df,2020-03-17 13:24:01,amauger,2020-03-17 13:24:01,amauger
1066,2020-10-30,df,2020-05-13 12:13:36,amauger,2020-05-13 12:13:36,amauger
1066,2020-10-31,df,2020-03-27 16:18:19,goliveira,2020-03-27 16:18:19,goliveira
1067,2020-10-30,df,2020-03-17 13:19:02,amauger,2020-03-17 13:19:02,amauger
1070,2020-10-30,df,2020-03-17 13:24:35,amauger,2020-03-17 13:24:35,amauger
1075,2020-10-30,df,2020-03-17 13:20:07,amauger,2020-03-17 13:20:07,amauger
1079,2018-01-15,in,2020-10-13 14:14:51,amauger,2020-10-13 14:14:51,amauger
1079,2019-11-30,fn,2020-10-13 14:14:51,amauger,2020-10-13 14:14:51,amauger
1080,2020-10-30,df,2020-03-17 13:22:33,amauger,2020-03-17 13:22:33,amauger
1081,2020-10-30,df,2020-03-17 13:23:19,amauger,2020-03-17 13:23:19,amauger
