idprojeto,identidadeprop,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,tipo_vinculo
549,11794,2022-06-29 10:51:10,Mluiza,2022-06-29 10:51:10,Mluiza,1
549,2203,2022-06-29 10:51:10,Mluiza,2022-06-29 10:51:10,Mluiza,4
548,11794,2022-06-29 10:52:00,Mluiza,2022-06-29 10:52:00,Mluiza,1
548,2203,2022-06-29 10:52:00,Mluiza,2022-06-29 10:52:00,Mluiza,4
547,11794,2022-06-29 10:53:18,Mluiza,2022-06-29 10:53:18,Mluiza,1
547,2198,2022-06-29 10:53:18,Mluiza,2022-06-29 10:53:18,Mluiza,4
555,11763,2022-06-29 10:54:39,Mluiza,2022-06-29 10:54:39,Mluiza,1
555,2659,2022-06-29 10:54:39,Mluiza,2022-06-29 10:54:39,Mluiza,4
545,11786,2022-06-29 11:21:36,Mluiza,2022-06-29 11:21:36,Mluiza,1
545,11087,2022-06-29 11:21:36,Mluiza,2022-06-29 11:21:36,Mluiza,4
543,11789,2022-06-30 10:44:53,Mluiza,2022-06-30 10:44:53,Mluiza,1
543,2129,2022-06-30 10:44:53,Mluiza,2022-06-30 10:44:53,Mluiza,4
542,11789,2022-06-30 10:47:20,Mluiza,2022-06-30 10:47:20,Mluiza,1
542,2127,2022-06-30 10:47:20,Mluiza,2022-06-30 10:47:20,Mluiza,4
540,11789,2022-07-05 14:30:48,Mluiza,2022-07-05 14:30:48,Mluiza,1
540,2127,2022-07-05 14:30:48,Mluiza,2022-07-05 14:30:48,Mluiza,4
541,11789,2022-07-05 14:31:47,Mluiza,2022-07-05 14:31:47,Mluiza,1
541,2127,2022-07-05 14:31:47,Mluiza,2022-07-05 14:31:47,Mluiza,4
539,11794,2022-07-05 14:33:28,Mluiza,2022-07-05 14:33:28,Mluiza,1
539,3528,2022-07-05 14:33:28,Mluiza,2022-07-05 14:33:28,Mluiza,4
538,11794,2022-07-05 14:37:00,Mluiza,2022-07-05 14:37:00,Mluiza,1
538,3528,2022-07-05 14:37:00,Mluiza,2022-07-05 14:37:00,Mluiza,4
537,11794,2022-07-05 14:41:10,Mluiza,2022-07-05 14:41:10,Mluiza,1
537,3528,2022-07-05 14:41:10,Mluiza,2022-07-05 14:41:10,Mluiza,4
536,11794,2022-07-05 14:43:01,Mluiza,2022-07-05 14:43:01,Mluiza,1
536,3528,2022-07-05 14:43:01,Mluiza,2022-07-05 14:43:01,Mluiza,4
535,11794,2022-07-05 14:44:09,Mluiza,2022-07-05 14:44:09,Mluiza,1
535,3528,2022-07-05 14:44:09,Mluiza,2022-07-05 14:44:09,Mluiza,4
534,11794,2022-07-05 14:46:45,Mluiza,2022-07-05 14:46:45,Mluiza,1
533,11794,2022-07-05 14:49:02,Mluiza,2022-07-05 14:49:02,Mluiza,1
533,3528,2022-07-05 14:49:02,Mluiza,2022-07-05 14:49:02,Mluiza,4
532,11794,2022-07-05 14:50:06,Mluiza,2022-07-05 14:50:06,Mluiza,1
532,3528,2022-07-05 14:50:06,Mluiza,2022-07-05 14:50:06,Mluiza,4
531,11794,2022-07-05 14:52:57,Mluiza,2022-07-05 14:52:57,Mluiza,1
531,3528,2022-07-05 14:52:57,Mluiza,2022-07-05 14:52:57,Mluiza,4
530,11794,2022-07-05 14:54:10,Mluiza,2022-07-05 14:54:10,Mluiza,1
530,3528,2022-07-05 14:54:10,Mluiza,2022-07-05 14:54:10,Mluiza,4
529,11794,2022-07-05 14:55:20,Mluiza,2022-07-05 14:55:20,Mluiza,1
529,3528,2022-07-05 14:55:20,Mluiza,2022-07-05 14:55:20,Mluiza,4
528,11794,2022-07-05 14:56:19,Mluiza,2022-07-05 14:56:19,Mluiza,1
528,3528,2022-07-05 14:56:19,Mluiza,2022-07-05 14:56:19,Mluiza,4
527,11788,2022-07-05 14:58:21,Mluiza,2022-07-05 14:58:21,Mluiza,1
527,3494,2022-07-05 14:58:21,Mluiza,2022-07-05 14:58:21,Mluiza,4
521,11794,2022-07-05 15:10:10,Mluiza,2022-07-05 15:10:10,Mluiza,1
521,2081,2022-07-05 15:10:10,Mluiza,2022-07-05 15:10:10,Mluiza,4
520,11794,2022-07-06 08:43:05,Mluiza,2022-07-06 08:43:05,Mluiza,1
520,2081,2022-07-06 08:43:05,Mluiza,2022-07-06 08:43:05,Mluiza,4
519,11794,2022-07-06 08:44:52,Mluiza,2022-07-06 08:44:52,Mluiza,1
519,2081,2022-07-06 08:44:52,Mluiza,2022-07-06 08:44:52,Mluiza,4
518,11794,2022-07-06 08:45:56,Mluiza,2022-07-06 08:45:56,Mluiza,1
