idprojeto,nuacao,data,tipo_data,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao
2044,6,2023-02-01,di,2023-01-05 09:43:16,gabriel.g,2023-01-05 09:43:16,gabriel.g
2045,1,2023-04-01,di,2023-01-05 10:03:37,gabriel.g,2023-01-05 10:03:37,gabriel.g
2045,1,2023-05-01,np,2023-01-06 09:32:40,gabriel.g,2023-01-06 09:32:40,gabriel.g
2045,1,2023-10-31,fp,2023-01-06 09:32:40,gabriel.g,2023-01-06 09:32:40,gabriel.g
2045,2,2023-02-01,di,2023-01-05 10:08:26,gabriel.g,2023-01-05 10:08:26,gabriel.g
2045,2,2023-03-01,np,2023-01-06 09:33:16,gabriel.g,2023-01-06 09:33:16,gabriel.g
2045,2,2023-07-31,fp,2023-01-06 09:33:16,gabriel.g,2023-01-06 09:33:16,gabriel.g
2045,3,2023-02-01,di,2023-01-05 10:13:26,gabriel.g,2023-01-05 10:13:26,gabriel.g
2045,3,2023-03-01,np,2023-01-06 09:33:48,gabriel.g,2023-01-06 09:33:48,gabriel.g
2045,3,2023-08-31,fp,2023-01-06 09:33:48,gabriel.g,2023-01-06 09:33:48,gabriel.g
2045,4,2023-02-01,di,2023-01-05 10:16:42,gabriel.g,2023-01-05 10:16:42,gabriel.g
2045,4,2024-01-15,fp,2023-01-06 09:34:14,gabriel.g,2023-01-06 09:34:14,gabriel.g
2045,5,2023-04-01,di,2023-01-05 10:20:29,gabriel.g,2023-01-05 10:20:29,gabriel.g
2045,5,2023-05-01,np,2023-01-06 09:34:47,gabriel.g,2023-01-06 09:34:47,gabriel.g
2045,5,2023-09-30,fp,2023-01-06 09:34:47,gabriel.g,2023-01-06 09:34:47,gabriel.g
2045,6,2023-02-01,di,2023-01-05 10:23:15,gabriel.g,2023-01-05 10:23:15,gabriel.g
2046,1,2023-02-01,di,2023-01-05 11:17:52,gabriel.g,2023-01-05 11:17:52,gabriel.g
2046,1,2023-03-01,np,2023-01-06 09:50:40,gabriel.g,2023-01-06 09:50:40,gabriel.g
2046,1,2023-10-31,fp,2023-01-06 09:50:40,gabriel.g,2023-01-06 09:50:40,gabriel.g
2046,2,2023-02-01,di,2023-01-05 11:22:26,gabriel.g,2023-01-05 11:22:26,gabriel.g
