id,idprojeto,nome,descricao,tipo_dado,tipo_controle,valor_esperado,forma_verificacao,data_inclusao,usuario_inclusao,data_atualizacao,usuario_alteracao,iddocsobrigatorios,comentario
118,1321,Resultado Finalístico 1,Formação de Núcleo Setorial,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
119,34,Resultado Finalístico 1,Aumentar em 25% a participação em plantões de vendas de novos empreendimentos até o final do Projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
120,43,Resultado Finalístico 1,Aumentar em 15% o faturamento das empresas participantes até o fim do projeto.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
121,7,Resultado Finalístico 1,"\\\\\\\""Reduzir em 30% o desperdício gerado pelo mau uso
da matéria prima em 2015.\\\\\\\""",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
122,15,Resultado Finalístico 1,Aumento em 10% da produtividade ( faturamento/quantidade de pessoas) nas empresas participantes até o final do projeto,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
123,24,Resultado Finalístico 1,Aumentar o fluxo turístico nos empreendimentos em 20%,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
124,86,Resultado Finalístico 1,Ter a participação de 90% das empresas do núcleo no Programa de Segurança no Lar,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
125,53,Resultado Finalístico 1,"Aumentar em 7% a produção das empresas participantes, até o final do projeto, 2015",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
126,57,Resultado Finalístico 1,"Elevar a mão de obra em 10%, nas empresas participantes até o final do projeto;",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
127,165,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
128,174,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
129,176,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações.,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
130,164,Resultado Finalístico 1,"- Formar 1 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações;
- Interação com a FETAG e outras instituições de representação empresarial para ampliação do portfólio de serviços.",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
131,163,Resultado Finalístico 1,"- Formar 1 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações;
- Revitalização da FEOVELHA.",,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
132,119,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
133,143,Resultado Finalístico 1,Formar 2 núcleos setoriais e cadastrar as empresas nucleadas no Portal do Empreender com seus respectivos planos de ações,,,,,2020-02-26 22:16:04,sistema,2020-02-26 22:16:04,sistema,,
